Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017 Poverty and Median Household Income Estimates - States and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release Date:  December 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,42583651,42342619,42824683,13.4,13.3,13.5,13353202,13229339,13477065,18.4,18.2,18.6,9120503,9033090,9207916,17.3,17.1,17.5,60336,60250,60422,3932969,3880645,3985293,20.2,19.9,20.5
01,AL,Alabama,802263,784517,820009,16.9,16.5,17.3,262909,253694,272124,24.4,23.5,25.3,180594,172412,188776,22.8,21.8,23.8,48193,47451,48935,78986,75009,82963,27.7,26.3,29.1
02,AK,Alaska,79428,75273,83583,11,10.4,11.6,26079,23957,28201,14.5,13.3,15.7,16855,15080,18630,13.3,11.9,14.7,74058,72099,76017,8208,7145,9271,15.8,13.7,17.9
04,AZ,Arizona,1023337,1002773,1043901,14.9,14.6,15.2,336150,324723,347577,21,20.3,21.7,230386,220457,240315,19.7,18.9,20.5,56508,55999,57017,99130,93773,104487,23.4,22.1,24.7
05,AR,Arkansas,475883,463966,487800,16.3,15.9,16.7,155878,149187,162569,22.5,21.5,23.5,106559,100772,112346,21.2,20,22.4,45916,45181,46651,46339,43141,49537,24.8,23.1,26.5
06,CA,California,5164169,5111205,5217133,13.3,13.2,13.4,1615913,1586526,1645300,18.1,17.8,18.4,1123318,1097717,1148919,17.4,17,17.8,71785,71492,72078,453522,440023,467021,18.8,18.2,19.4
08,CO,Colorado,566118,552126,580110,10.3,10,10.6,151899,143486,160312,12.2,11.5,12.9,103485,96204,110766,11.4,10.6,12.2,69113,68361,69865,44196,40042,48350,13.5,12.2,14.8
09,CT,Connecticut,338651,326360,350942,9.7,9.3,10.1,95569,89324,101814,13,12.2,13.8,67750,62374,73126,12.3,11.3,13.3,74428,73203,75653,25638,22687,28589,14.2,12.6,15.8
10,DE,Delaware,121592,116181,127003,13,12.4,13.6,35291,32862,37720,17.7,16.5,18.9,23452,21452,25452,16,14.6,17.4,64085,62201,65969,11176,9870,12482,21.3,18.8,23.8
11,DC,District of Columbia,109502,104105,114899,16.6,15.8,17.4,32353,29285,35421,26.2,23.7,28.7,20504,17854,23154,26,22.6,29.4,80153,78132,82174,11445,9994,12896,25.7,22.4,29
12,FL,Florida,2901876,2860804,2942948,14.1,13.9,14.3,850924,829310,872538,20.6,20.1,21.1,589055,570357,607753,19.6,19,20.2,52582,52221,52943,244308,234289,254327,22,21.1,22.9
13,GA,Georgia,1536069,1503877,1568261,15.1,14.8,15.4,532013,513320,550706,21.5,20.7,22.3,370142,353546,386738,20.3,19.4,21.2,56117,55555,56679,153380,145103,161657,23.8,22.5,25.1
15,HI,Hawaii,132201,126481,137921,9.5,9.1,9.9,35572,32442,38702,11.9,10.9,12.9,22463,19838,25088,10.7,9.5,11.9,77936,76340,79532,11596,9898,13294,13.3,11.4,15.2
16,ID,Idaho,211937,203631,220243,12.6,12.1,13.1,64896,60371,69421,14.8,13.8,15.8,42957,39032,46882,13.3,12.1,14.5,52280,51448,53112,20008,17900,22116,17.5,15.7,19.3
17,IL,Illinois,1568670,1543257,1594083,12.5,12.3,12.7,485816,470646,500986,17,16.5,17.5,333818,320832,346804,16,15.4,16.6,63044,62509,63579,142481,134834,150128,18.8,17.8,19.8
18,IN,Indiana,860753,841903,879603,13.3,13,13.6,274117,263205,285029,17.8,17.1,18.5,182455,172865,192045,16.3,15.4,17.2,54134,53493,54775,83000,78256,87744,20.4,19.2,21.6
19,IA,Iowa,328629,319716,337542,10.8,10.5,11.1,90246,85662,94830,12.6,12,13.2,56921,53028,60814,10.9,10.2,11.6,58706,57889,59523,29970,27513,32427,15.4,14.1,16.7
20,KS,Kansas,335371,325420,345322,11.9,11.5,12.3,102858,97150,108566,14.7,13.9,15.5,67873,62948,72798,13.4,12.4,14.4,56382,55700,57064,31443,28724,34162,16.7,15.3,18.1
21,KY,Kentucky,738563,723378,753748,17.1,16.7,17.5,218734,211037,226431,22.1,21.3,22.9,146838,140354,153322,20.6,19.7,21.5,48332,47716,48948,66607,62866,70348,24.8,23.4,26.2
22,LA,Louisiana,893827,875670,911984,19.6,19.2,20,303024,293085,312963,27.7,26.8,28.6,203606,194890,212322,26,24.9,27.1,46283,45663,46903,95740,91062,100418,31.3,29.8,32.8
23,ME,Maine,147413,141958,152868,11.3,10.9,11.7,35045,32560,37530,14.2,13.2,15.2,23871,21664,26078,13.1,11.9,14.3,55980,54896,57064,9522,8477,10567,15.2,13.5,16.9
24,MD,Maryland,556549,541127,571971,9.4,9.1,9.7,165365,157132,173598,12.4,11.8,13,112037,104796,119278,11.6,10.9,12.3,80711,80023,81399,48728,45000,52456,13.5,12.5,14.5
25,MA,Massachusetts,692943,675076,710810,10.5,10.2,10.8,182461,173590,191332,13.5,12.8,14.2,126029,118515,133543,12.7,11.9,13.5,77385,76519,78251,51167,46523,55811,14.5,13.2,15.8
26,MI,Michigan,1373358,1351618,1395098,14.1,13.9,14.3,416305,404866,427744,19.6,19.1,20.1,275411,265855,284967,17.7,17.1,18.3,54840,54405,55275,130222,124403,136041,23.4,22.4,24.4
27,MN,Minnesota,517348,505806,528890,9.5,9.3,9.7,149218,142348,156088,11.7,11.2,12.2,99614,93661,105567,10.8,10.2,11.4,68364,67722,69006,43319,39712,46926,12.5,11.5,13.5
28,MS,Mississippi,573717,561749,585685,19.9,19.5,20.3,194336,187869,200803,27.6,26.7,28.5,139482,134024,144940,27,25.9,28.1,43595,42773,44417,52336,48981,55691,28.6,26.8,30.4
29,MO,Missouri,793001,776721,809281,13.4,13.1,13.7,249829,240522,259136,18.5,17.8,19.2,168099,160349,175849,17.2,16.4,18,53506,52890,54122,74279,69539,79019,20.4,19.1,21.7
30,MT,Montana,130616,125024,136208,12.7,12.2,13.2,35323,32971,37675,15.9,14.8,17,22472,20522,24422,14,12.8,15.2,53262,51987,54537,11864,10638,13090,19.3,17.3,21.3
31,NE,Nebraska,198984,191439,206529,10.7,10.3,11.1,63981,59898,68064,13.7,12.8,14.6,42235,38684,45786,12.6,11.5,13.7,59913,58959,60867,19275,17401,21149,14.9,13.5,16.3
32,NV,Nevada,392857,379792,405922,13.3,12.9,13.7,129102,122765,135439,19.2,18.3,20.1,87307,81843,92771,17.9,16.8,19,57932,57032,58832,38686,35608,41764,21.3,19.6,23
33,NH,New Hampshire,100550,95275,105825,7.7,7.3,8.1,25283,22708,27858,10,9,11,17303,15033,19573,9.1,7.9,10.3,73638,72173,75103,6744,5633,7855,10.8,9,12.6
34,NJ,New Jersey,882132,862408,901856,10,9.8,10.2,270713,259622,281804,13.8,13.2,14.4,189048,179643,198453,13.1,12.4,13.8,80106,79451,80761,77659,71868,83450,15.2,14.1,16.3
35,NM,New Mexico,388790,378032,399548,19,18.5,19.5,124045,118269,129821,25.9,24.7,27.1,86767,81790,91744,24.6,23.2,26,47086,45974,48198,35257,32493,38021,28.4,26.2,30.6
36,NY,New York,2735578,2700018,2771138,14.1,13.9,14.3,812336,793426,831246,19.9,19.4,20.4,554556,539383,569729,18.9,18.4,19.4,64783,64283,65283,240184,229203,251165,21.2,20.2,22.2
37,NC,North Carolina,1468032,1442873,1493191,14.7,14.4,15,476438,461659,491217,21,20.3,21.7,326389,313330,339448,19.6,18.8,20.4,52797,52295,53299,140316,133819,146813,23.5,22.4,24.6
38,ND,North Dakota,74057,70249,77865,10.2,9.7,10.7,19661,17896,21426,11.4,10.4,12.4,12386,10923,13849,10.4,9.2,11.6,62400,61392,63408,6759,5831,7687,12.8,11,14.6
39,OH,Ohio,1575401,1551281,1599521,13.9,13.7,14.1,507119,493056,521182,19.8,19.2,20.4,339888,328221,351555,18.2,17.6,18.8,54077,53670,54484,155522,148753,162291,22.8,21.8,23.8
40,OK,Oklahoma,600911,589591,612231,15.8,15.5,16.1,200447,193877,207017,21.3,20.6,22,136937,131340,142534,20.1,19.3,20.9,50051,49487,50615,59699,56255,63143,23.4,22.1,24.7
41,OR,Oregon,534846,521125,548567,13.2,12.9,13.5,141083,133798,148368,16.5,15.6,17.4,92236,85862,98610,14.9,13.9,15.9,60123,59356,60890,42628,39150,46106,18.6,17.1,20.1
42,PA,Pennsylvania,1548557,1524709,1572405,12.5,12.3,12.7,443665,430076,457254,16.9,16.4,17.4,300068,288217,311919,15.7,15.1,16.3,59165,58728,59602,134116,127343,140889,19.4,18.4,20.4
44,RI,Rhode Island,125208,118956,131460,12.3,11.7,12.9,37091,34517,39665,18.2,16.9,19.5,25638,23450,27826,17.1,15.6,18.6,62923,61349,64497,10766,9514,12018,20.2,17.8,22.6
45,SC,South Carolina,750359,735356,765362,15.4,15.1,15.7,242819,234515,251123,22.3,21.5,23.1,169622,162191,177053,21.3,20.4,22.2,50675,50151,51199,69188,65427,72949,24.1,22.8,25.4
46,SD,South Dakota,107522,103234,111810,12.8,12.3,13.3,33977,31772,36182,16.3,15.2,17.4,22503,20642,24364,15.2,13.9,16.5,56871,55674,58068,10579,9486,11672,17.7,15.9,19.5
47,TN,Tennessee,980394,961862,998926,15,14.7,15.3,313432,303257,323607,21.1,20.4,21.8,213912,205109,222715,19.8,19,20.6,51319,50914,51724,94225,89428,99022,23.6,22.4,24.8
48,TX,Texas,4080377,4036102,4124652,14.7,14.5,14.9,1525944,1494968,1556920,21,20.6,21.4,1047625,1020438,1074812,19.9,19.4,20.4,59195,58712,59678,454312,439905,468719,22.8,22.1,23.5
49,UT,Utah,296138,284801,307475,9.7,9.3,10.1,96881,90671,103091,10.6,9.9,11.3,62631,57316,67946,9.5,8.7,10.3,68395,67267,69523,30591,27509,33673,12.2,11,13.4
