Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020 Poverty and Median Household Income Estimates - States and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release Date:  December 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,38371394,38309115,38433673,11.9,11.9,11.9,11204423,11176652,11232194,15.7,15.7,15.7,7798566,7778138,7818994,14.9,14.9,14.9,67340,67251,67429,3146325,3133736,3158914,16.8,16.7,16.9
01,AL,Alabama,714568,695249,733887,14.9,14.5,15.3,222934,213738,232130,20.9,20,21.8,152810,144819,160801,19.7,18.7,20.7,53958,53013,54903,66169,61541,70797,23.3,21.7,24.9
02,AK,Alaska,68714,64952,72476,9.6,9.1,10.1,21459,19801,23117,12.3,11.3,13.3,13944,12574,15314,11.1,10,12.2,79961,77531,82391,6852,5955,7749,14.2,12.3,16.1
04,AZ,Arizona,932555,904127,960983,12.8,12.4,13.2,283667,269862,297472,17.6,16.7,18.5,197320,185245,209395,16.6,15.6,17.6,64652,63735,65569,79944,73422,86466,19.4,17.8,21
05,AR,Arkansas,448665,434898,462432,15.2,14.7,15.7,142855,136047,149663,20.8,19.8,21.8,96688,90761,102615,19.3,18.1,20.5,51146,49750,52542,43491,40261,46721,24,22.2,25.8
06,CA,California,4419167,4357445,4480889,11.5,11.3,11.7,1260145,1226143,1294147,14.6,14.2,15,898424,868759,928089,14.2,13.7,14.7,83001,82422,83580,327414,312308,342520,14.6,13.9,15.3
08,CO,Colorado,511346,494184,528508,9,8.7,9.3,129839,121098,138580,10.6,9.9,11.3,89390,81924,96856,9.8,9,10.6,77688,76545,78831,36625,32181,41069,11.6,10.2,13
09,CT,Connecticut,333435,320574,346296,9.7,9.3,10.1,83935,77882,89988,11.8,10.9,12.7,60753,55404,66102,11.5,10.5,12.5,79723,78511,80935,20781,18148,23414,11.8,10.3,13.3
10,DE,Delaware,104400,98380,110420,10.9,10.3,11.5,30380,28223,32537,15.1,14,16.2,20536,18730,22342,14.1,12.9,15.3,71335,68795,73875,9067,7971,10163,17,14.9,19.1
11,DC,District of Columbia,101959,95326,108592,15,14,16,28420,24687,32153,22.3,19.4,25.2,19568,16133,23003,23.2,19.1,27.3,91957,88385,95529,8515,7200,9830,19.7,16.7,22.7
12,FL,Florida,2642642,2588357,2696927,12.4,12.1,12.7,714847,688232,741462,17.2,16.6,17.8,504335,481287,527383,16.5,15.7,17.3,61724,61066,62382,194751,183731,205771,17.7,16.7,18.7
13,GA,Georgia,1465328,1428552,1502104,14,13.6,14.4,479569,461410,497728,19.5,18.8,20.2,341361,325726,356996,18.8,17.9,19.7,62800,62028,63572,129216,120408,138024,20.4,19,21.8
15,HI,Hawaii,121182,113902,128462,8.9,8.4,9.4,29682,26817,32547,10.4,9.4,11.4,20055,17684,22426,9.8,8.6,11,86878,84749,89007,7954,6528,9380,10,8.2,11.8
16,ID,Idaho,181197,172754,189640,10.1,9.6,10.6,51193,47153,55233,11.6,10.7,12.5,34060,30596,37524,10.4,9.3,11.5,62603,60721,64485,14917,13077,16757,13.4,11.8,15
17,IL,Illinois,1351159,1323764,1378554,11,10.8,11.2,377680,364078,391282,13.9,13.4,14.4,268581,256492,280670,13.4,12.8,14,71243,70627,71859,99052,93010,105094,14.1,13.2,15
18,IN,Indiana,760167,739176,781158,11.6,11.3,11.9,228832,218266,239398,14.9,14.2,15.6,154493,145545,163441,13.7,12.9,14.5,60794,60097,61491,69492,64020,74964,17.2,15.8,18.6
19,IA,Iowa,313752,302206,325298,10.2,9.8,10.6,85187,79757,90617,12,11.2,12.8,57465,52920,62010,11.1,10.2,12,62362,61290,63434,24130,21383,26877,12.9,11.4,14.4
20,KS,Kansas,300931,289562,312300,10.6,10.2,11,88491,82449,94533,13,12.1,13.9,59792,54419,65165,11.9,10.8,13,63214,61782,64646,26124,23483,28765,14.7,13.2,16.2
21,KY,Kentucky,647158,631476,662840,14.9,14.5,15.3,189696,181675,197717,19.4,18.6,20.2,128755,121968,135542,18.2,17.2,19.2,54074,53239,54909,56318,52089,60547,21.4,19.8,23
22,LA,Louisiana,802040,780192,823888,17.8,17.3,18.3,258205,248346,268064,24.3,23.4,25.2,176958,168647,185269,23,21.9,24.1,51730,50527,52933,78493,73385,83601,27.3,25.5,29.1
23,ME,Maine,139614,132648,146580,10.6,10.1,11.1,30612,28213,33011,12.8,11.8,13.8,21680,19575,23785,12.2,11,13.4,59145,57519,60771,7695,6610,8780,12.7,10.9,14.5
24,MD,Maryland,533561,514876,552246,9,8.7,9.3,146629,136345,156913,11.2,10.4,12,102597,93791,111403,10.8,9.9,11.7,88589,87442,89736,39931,34934,44928,11.5,10.1,12.9
25,MA,Massachusetts,628899,609988,647810,9.4,9.1,9.7,143199,133788,152610,10.9,10.2,11.6,102511,94557,110465,10.5,9.7,11.3,87288,85615,88961,37695,32905,42485,11,9.6,12.4
26,MI,Michigan,1232948,1207303,1258593,12.6,12.3,12.9,349847,336632,363062,16.8,16.2,17.4,241933,230425,253441,15.8,15,16.6,61352,60407,62297,99307,93338,105276,18.2,17.1,19.3
27,MN,Minnesota,458302,443110,473494,8.3,8,8.6,121018,112371,129665,9.5,8.8,10.2,84640,76810,92470,9.1,8.3,9.9,75489,74227,76751,31657,28339,34975,9.4,8.4,10.4
28,MS,Mississippi,536535,521304,551766,18.7,18.2,19.2,175995,168681,183309,26,24.9,27.1,122573,116311,128835,24.7,23.4,26,47368,46217,48519,50986,47434,54538,29,27,31
29,MO,Missouri,725117,705722,744512,12.1,11.8,12.4,208410,198953,217867,15.5,14.8,16.2,144708,136737,152679,14.8,14,15.6,58812,58125,59499,58334,53449,63219,16.4,15,17.8
30,MT,Montana,130711,124938,136484,12.4,11.9,12.9,32949,30774,35124,14.6,13.6,15.6,22237,20390,24084,13.4,12.3,14.5,57730,55697,59763,9632,8562,10702,16.4,14.6,18.2
31,NE,Nebraska,172623,164510,180736,9.2,8.8,9.6,47064,43262,50866,10.1,9.3,10.9,32233,29000,35466,9.5,8.5,10.5,64735,63539,65931,13148,11330,14966,10.5,9,12
32,NV,Nevada,386817,371521,402113,12.5,12,13,114374,108213,120535,16.7,15.8,17.6,76354,71274,81434,15.2,14.2,16.2,64608,63272,65944,34737,31585,37889,19.5,17.7,21.3
33,NH,New Hampshire,92404,86124,98684,7,6.5,7.5,20726,18286,23166,8.4,7.4,9.4,14147,12029,16265,7.6,6.5,8.7,81415,79440,83390,5410,4323,6497,8.9,7.1,10.7
34,NJ,New Jersey,818389,792516,844262,9.4,9.1,9.7,238944,224942,252946,12.6,11.9,13.3,168155,155954,180356,12.1,11.2,13,87095,85812,88378,64214,57512,70916,12.8,11.5,14.1
35,NM,New Mexico,346455,333987,358923,16.8,16.2,17.4,99575,94068,105082,21.6,20.4,22.8,70994,66236,75752,20.6,19.2,22,52285,50993,53577,26740,24053,29427,23.3,21,25.6
36,NY,New York,2401141,2360458,2441824,12.7,12.5,12.9,653300,631185,675415,16.7,16.1,17.3,460210,441138,479282,16.3,15.6,17,73354,72798,73910,180596,170262,190930,16.8,15.8,17.8
37,NC,North Carolina,1329685,1298231,1361139,12.9,12.6,13.2,404731,387156,422306,17.9,17.1,18.7,282345,267031,297659,17,16.1,17.9,59616,58990,60242,115564,107665,123463,19.6,18.3,20.9
38,ND,North Dakota,75781,70920,80642,10.2,9.5,10.9,19470,17757,21183,10.9,9.9,11.9,11811,10472,13150,9.4,8.3,10.5,64289,61883,66695,6951,5908,7994,13.3,11.3,15.3
39,OH,Ohio,1428219,1398807,1457631,12.6,12.3,12.9,417333,400878,433788,16.6,15.9,17.3,281878,267654,296102,15.3,14.5,16.1,60360,59900,60820,125897,117997,133797,19,17.8,20.2
40,OK,Oklahoma,552168,537720,566616,14.3,13.9,14.7,173405,166091,180719,18.6,17.8,19.4,118440,112012,124868,17.3,16.4,18.2,54512,53669,55355,50924,47445,54403,20.8,19.4,22.2
41,OR,Oregon,457940,442247,473633,11,10.6,11.4,102454,95611,109297,12.2,11.4,13,70179,64179,76179,11.3,10.3,12.3,67832,67028,68636,28205,24973,31437,13.2,11.7,14.7
42,PA,Pennsylvania,1345976,1318808,1373144,10.9,10.7,11.1,367804,352972,382636,14.3,13.7,14.9,258736,246024,271448,13.7,13,14.4,64898,64181,65615,100637,93368,107906,15,13.9,16.1
44,RI,Rhode Island,108306,102273,114339,10.6,10,11.2,28952,26720,31184,14.5,13.4,15.6,20054,18173,21935,13.8,12.5,15.1,73919,71346,76492,8290,7160,9420,15.7,13.6,17.8
45,SC,South Carolina,703004,681646,724362,13.8,13.4,14.2,205775,196758,214792,18.7,17.9,19.5,144351,136616,152086,17.8,16.8,18.8,57216,56110,58322,58375,53953,62797,20.5,19,22
46,SD,South Dakota,99903,95310,104496,11.6,11.1,12.1,29754,27832,31676,13.9,13,14.8,19629,18051,21207,12.7,11.7,13.7,61149,59478,62820,9281,8204,10358,15.7,13.9,17.5
47,TN,Tennessee,911097,887430,934764,13.6,13.2,14,272337,261026,283648,18.4,17.6,19.2,187030,177267,196793,17.4,16.5,18.3,56962,56112,57812,79579,74041,85117,20.2,18.8,21.6
48,TX,Texas,3862713,3792930,3932496,13.4,13.2,13.6,1373643,1333207,1414079,18.8,18.2,19.4,959889,924465,995313,17.9,17.2,18.6,66048,65365,66731,390839,370813,410865,20.4,19.4,21.4
49,UT,Utah,234666,223042,246290,7.3,6.9,7.7,68900,62582,75218,7.5,6.8,8.2,45054,40021,50087,6.7,6,7.4,77785,76480,79090,20230,16783,23677,8.5,7,10
