Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2019 Poverty and Median Household Income Estimates - States and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release Date:  December 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,39490096,39248096,39732096,12.3,12.2,12.4,12000470,11865995,12134945,16.8,16.6,17,8258906,8160650,8357162,15.8,15.6,16,65712,65594,65830,3457689,3405854,3509524,18.2,17.9,18.5
01,AL,Alabama,747478,730491,764465,15.6,15.2,16,233890,225712,242068,21.9,21.1,22.7,161670,154564,168776,20.7,19.8,21.6,51771,51179,52363,69236,65296,73176,24.2,22.8,25.6
02,AK,Alaska,73033,68640,77426,10.2,9.6,10.8,23110,21326,24894,13.2,12.2,14.2,14945,13473,16417,11.9,10.7,13.1,77203,74942,79464,7350,6443,8257,14.9,13.1,16.7
04,AZ,Arizona,963007,940142,985872,13.5,13.2,13.8,309844,297708,321980,19.2,18.4,20,214561,203870,225252,18.1,17.2,19,62027,61584,62470,88440,83016,93864,21.1,19.8,22.4
05,AR,Arkansas,468575,456478,480672,16,15.6,16.4,148843,142807,154879,21.7,20.8,22.6,99539,94586,104492,19.9,18.9,20.9,49020,48177,49863,45995,43010,48980,25.2,23.6,26.8
06,CA,California,4560419,4509811,4611027,11.8,11.7,11.9,1363913,1335622,1392204,15.6,15.3,15.9,969127,944427,993827,15.2,14.8,15.6,80423,80110,80736,362735,349016,376454,15.7,15.1,16.3
08,CO,Colorado,531331,516240,546422,9.4,9.1,9.7,139017,130741,147293,11.2,10.5,11.9,97101,89801,104401,10.7,9.9,11.5,77104,76329,77879,37031,33361,40701,11.4,10.3,12.5
09,CT,Connecticut,343101,331999,354203,9.9,9.6,10.2,96843,91433,102253,13.5,12.7,14.3,69310,64502,74118,12.9,12,13.8,78920,77639,80201,24998,22796,27200,14.1,12.9,15.3
10,DE,Delaware,106227,100509,111945,11.2,10.6,11.8,32036,29866,34206,16.3,15.2,17.4,21885,20037,23733,15.2,13.9,16.5,70348,68855,71841,9428,8431,10425,18.1,16.2,20
11,DC,District of Columbia,94985,88692,101278,14.1,13.2,15,26379,22277,30481,20.8,17.6,24,16359,12535,20183,20.1,15.4,24.8,90395,88226,92564,9565,8390,10740,21.4,18.8,24
12,FL,Florida,2681832,2641009,2722655,12.7,12.5,12.9,754366,730692,778040,18.2,17.6,18.8,512439,492642,532236,16.9,16.2,17.6,59198,58758,59638,224337,211921,236753,20.3,19.2,21.4
13,GA,Georgia,1397607,1370705,1424509,13.5,13.2,13.8,479379,462139,496619,19.5,18.8,20.2,337151,321824,352478,18.6,17.8,19.4,61950,61517,62383,134041,127055,141027,21,19.9,22.1
15,HI,Hawaii,124650,118029,131271,9,8.5,9.5,33038,29912,36164,11.2,10.1,12.3,22208,19469,24947,10.5,9.2,11.8,83734,81783,85685,9312,7918,10706,11.3,9.6,13
16,ID,Idaho,193741,185524,201958,11,10.5,11.5,55949,52006,59892,12.7,11.8,13.6,36471,33128,39814,11.2,10.2,12.2,60830,59799,61861,17748,15794,19702,15.7,14,17.4
17,IL,Illinois,1415838,1390337,1441339,11.4,11.2,11.6,431937,417345,446529,15.6,15.1,16.1,296303,284550,308056,14.6,14,15.2,69212,68633,69791,126156,118068,134244,17.3,16.2,18.4
18,IN,Indiana,773367,755582,791152,11.9,11.6,12.2,229786,219619,239953,15.1,14.4,15.8,155049,145961,164137,13.9,13.1,14.7,57617,56947,58287,68177,63665,72689,16.9,15.8,18
19,IA,Iowa,337156,325533,348779,11,10.6,11.4,91495,86520,96470,12.8,12.1,13.5,60772,56518,65026,11.7,10.9,12.5,61807,61069,62545,27614,25167,30061,14.5,13.2,15.8
20,KS,Kansas,319931,310230,329632,11.3,11,11.6,97920,93074,102766,14.3,13.6,15,64613,60507,68719,12.9,12.1,13.7,62028,61346,62710,29752,27343,32161,16.6,15.3,17.9
21,KY,Kentucky,692875,677588,708162,16,15.6,16.4,204500,196698,212302,20.9,20.1,21.7,136346,129785,142907,19.2,18.3,20.1,52256,51639,52873,62879,58961,66797,24.1,22.6,25.6
22,LA,Louisiana,847739,829070,866408,18.8,18.4,19.2,282297,272616,291978,26.4,25.5,27.3,196521,188104,204938,25.4,24.3,26.5,51108,50529,51687,82040,77490,86590,28.1,26.5,29.7
23,ME,Maine,141566,135542,147590,10.9,10.4,11.4,33026,30771,35281,13.8,12.9,14.7,22184,20220,24148,12.5,11.4,13.6,58824,57230,60418,9521,8464,10578,15.9,14.1,17.7
24,MD,Maryland,537717,523164,552270,9.1,8.9,9.3,160600,151973,169227,12.3,11.6,13,113069,105485,120653,11.9,11.1,12.7,86644,85734,87554,43157,39498,46816,12.3,11.3,13.3
25,MA,Massachusetts,631551,615762,647340,9.5,9.3,9.7,159006,149956,168056,12,11.3,12.7,112052,103864,120240,11.5,10.7,12.3,85700,84739,86661,42773,38926,46620,12.4,11.3,13.5
26,MI,Michigan,1264445,1242287,1286603,12.9,12.7,13.1,367411,355641,379181,17.5,16.9,18.1,251843,241751,261935,16.3,15.6,17,59522,58955,60089,106347,100517,112177,19.2,18.1,20.3
27,MN,Minnesota,491782,479460,504104,8.9,8.7,9.1,140103,132789,147417,11,10.4,11.6,96676,90236,103116,10.4,9.7,11.1,74529,73721,75337,37965,34848,41082,11.1,10.2,12
28,MS,Mississippi,559764,544709,574819,19.5,19,20,189002,181496,196508,27.6,26.5,28.7,132900,126234,139566,26.4,25.1,27.7,45928,44793,47063,53708,50514,56902,30.2,28.4,32
29,MO,Missouri,766238,749437,783039,12.9,12.6,13.2,227828,219389,236267,17,16.4,17.6,154869,147454,162284,15.9,15.1,16.7,57375,56741,58009,65688,61840,69536,18.5,17.4,19.6
30,MT,Montana,130974,125732,136216,12.6,12.1,13.1,34263,32084,36442,15.4,14.4,16.4,23011,21172,24850,14.2,13.1,15.3,57248,56099,58397,10094,9027,11161,17,15.2,18.8
31,NE,Nebraska,186402,179202,193602,9.9,9.5,10.3,53479,49809,57149,11.5,10.7,12.3,34436,31274,37598,10.3,9.4,11.2,63290,62381,64199,16551,14903,18199,13.2,11.9,14.5
32,NV,Nevada,384900,371882,397918,12.7,12.3,13.1,119574,113748,125400,17.6,16.7,18.5,82043,77079,87007,16.5,15.5,17.5,63268,62281,64255,34703,31942,37464,19.4,17.9,20.9
33,NH,New Hampshire,98310,92374,104246,7.5,7,8,20036,17793,22279,8.1,7.2,9,13959,11991,15927,7.5,6.4,8.6,78571,76786,80356,5385,4477,6293,8.7,7.2,10.2
34,NJ,New Jersey,795676,775971,815381,9.1,8.9,9.3,233496,222893,244099,12.2,11.6,12.8,161789,152972,170606,11.5,10.9,12.1,85786,85040,86532,65938,60347,71529,13.1,12,14.2
35,NM,New Mexico,358526,348384,368668,17.5,17,18,109631,104537,114725,23.5,22.4,24.6,77988,73645,82331,22.4,21.2,23.6,52021,51081,52961,29936,27395,32477,25.5,23.3,27.7
36,NY,New York,2471760,2439327,2504193,13.1,12.9,13.3,716817,697360,736274,18.2,17.7,18.7,485664,469112,502216,17.2,16.6,17.8,72038,71588,72488,213274,203111,223437,19.6,18.7,20.5
37,NC,North Carolina,1383760,1358983,1408537,13.6,13.4,13.8,435728,422158,449298,19.3,18.7,19.9,300469,288536,312402,18.1,17.4,18.8,57388,56784,57992,127334,121353,133315,21.5,20.5,22.5
38,ND,North Dakota,77327,72958,81696,10.5,9.9,11.1,19263,17532,20994,10.9,9.9,11.9,12685,11256,14114,10.2,9,11.4,67402,64920,69884,6028,5139,6917,11.4,9.7,13.1
39,OH,Ohio,1474285,1449452,1499118,13,12.8,13.2,458134,443797,472471,18.1,17.5,18.7,306068,293671,318465,16.6,15.9,17.3,58704,58147,59261,140477,134175,146779,20.9,20,21.8
40,OK,Oklahoma,578631,567495,589767,15.1,14.8,15.4,183999,177965,190033,19.7,19.1,20.3,125766,120686,130846,18.4,17.7,19.1,54447,53856,55038,54152,51070,57234,21.9,20.7,23.1
41,OR,Oregon,474302,461869,486735,11.5,11.2,11.8,114674,107590,121758,13.6,12.8,14.4,79068,72811,85325,12.8,11.8,13.8,66955,66103,67807,31011,27701,34321,14.1,12.6,15.6
42,PA,Pennsylvania,1481193,1453602,1508784,12,11.8,12.2,426395,411822,440968,16.5,15.9,17.1,300187,287260,313114,15.9,15.2,16.6,63455,63028,63882,116446,110131,122761,17.2,16.3,18.1
44,RI,Rhode Island,118095,112012,124178,11.6,11,12.2,33122,30808,35436,16.5,15.3,17.7,22754,20804,24704,15.4,14.1,16.7,70383,68918,71848,9896,8760,11032,18.9,16.7,21.1
45,SC,South Carolina,695259,677534,712984,13.9,13.5,14.3,216175,207434,224916,19.9,19.1,20.7,151485,143789,159181,19,18,20,56360,55542,57178,60443,56669,64217,21.4,20.1,22.7
46,SD,South Dakota,101371,96713,106029,11.9,11.4,12.4,31584,29379,33789,14.9,13.9,15.9,20542,18673,22411,13.6,12.4,14.8,60414,58658,62170,10173,9145,11201,17.2,15.5,18.9
47,TN,Tennessee,919850,901358,938342,13.8,13.5,14.1,286752,276627,296877,19.4,18.7,20.1,194183,185728,202638,18,17.2,18.8,56047,55399,56695,86482,81138,91826,21.9,20.5,23.3
48,TX,Texas,3870944,3820568,3921320,13.6,13.4,13.8,1401195,1370295,1432095,19.2,18.8,19.6,960219,932899,987539,18,17.5,18.5,64044,63548,64540,416641,402094,431188,21.4,20.7,22.1
49,UT,Utah,279435,268423,290447,8.8,8.5,9.1,88325,82131,94519,9.6,8.9,10.3,58514,53233,63795,8.7,7.9,9.5,75705,74655,76755,25728,22791,28665,10.6,9.4,11.8
